female,wjtest01,wjtest07,wjtest10,age,cutoff,white,black,hispanic,other,freelunch,agexcutoff
0,,,,-297,0,1,0,0,0,0,0
0,,,,-314,0,1,0,0,0,1,0
0,,,,-341,0,0,1,0,0,1,0
0,1,1,2,-150,0,0,0,1,0,1,0
1,,,,-127,0,0,1,0,0,1,0
1,,,,-134,0,0,0,1,0,1,0
1,1,1,0,-56,0,0,0,1,0,0,0
0,,,,-41,0,1,0,0,0,1,0
0,,,,-46,0,0,0,1,0,1,0
0,,,,-162,0,1,0,0,0,1,0
0,0,,,-310,0,0,0,1,0,1,0
1,,,,-275,0,1,0,0,0,1,0
1,,,,340,1,0,1,0,0,1,340
0,7,7,11,334,1,0,1,0,0,1,334
0,,,,176,1,0,0,0,1,1,176
1,,,,285,1,0,1,0,0,1,285
0,,,,50,1,0,1,0,0,1,50
0,6,9,12,32,1,0,0,1,0,1,32
0,,,,104,1,0,0,0,1,1,104
1,13,14,21,174,1,0,1,0,0,1,174
0,2,8,15,236,1,0,0,1,0,1,236
0,,,,228,1,0,0,1,0,1,228
0,0,0,0,363,1,0,0,1,0,1,363
1,5,11,12,331,1,0,0,1,0,1,331
1,,,,340,1,0,1,0,0,1,340
0,,,,30,1,0,1,0,0,1,30
0,9,9,12,341,1,0,1,0,0,1,341
1,,,,78,1,0,1,0,0,1,78
1,,,,142,1,1,0,0,0,1,142
0,14,11,17,269,1,0,0,1,0,,269
1,8,9,9,141,1,0,0,1,0,1,141
1,,,,289,1,0,0,0,1,1,289
1,5,9,12,331,1,0,0,1,0,1,331
1,8,9,18,47,1,0,0,1,0,1,47
0,6,7,11,50,1,0,0,1,0,1,50
1,7,12,15,177,1,1,0,0,0,,177
0,10,10,11,35,1,0,0,0,1,1,35
0,,,,-101,0,0,1,0,0,1,0
0,1,5,5,-90,0,0,1,0,0,1,0
1,0,0,0,-219,0,0,1,0,0,0,0
1,2,4,1,-297,0,0,0,1,0,1,0
1,3,6,1,-304,0,0,1,0,0,1,0
0,2,8,10,-42,0,0,1,0,0,1,0
1,12,8,6,-133,0,0,1,0,0,1,0
1,,,,-34,0,0,1,0,0,1,0
1,2,8,1,-251,0,0,0,1,0,1,0
0,5,1,2,-248,0,0,1,0,0,1,0
0,,,,-2,0,0,1,0,0,1,0
1,,,,-226,0,0,1,0,0,1,0
0,,,,-349,0,1,0,0,0,1,0
0,1,3,10,-219,0,0,1,0,0,1,0
1,9,8,7,-171,0,0,1,0,0,1,0
0,4,8,8,-71,0,0,0,1,0,1,0
0,,,,-221,0,0,1,0,0,1,0
0,4,1,5,-93,0,1,0,0,0,1,0
0,,,,-86,0,0,1,0,0,1,0
1,,,,-236,0,0,1,0,0,1,0
1,,,,360,1,0,0,0,1,,360
0,,,,204,1,0,1,0,0,1,204
1,8,10,17,170,1,0,1,0,0,1,170
