female,wjtest01,wjtest07,wjtest10,age,cutoff,white,black,hispanic,other,freelunch,agexcutoff
1,,,,39,1,1,0,0,0,1,39
1,4,5,11,25,1,0,0,0,1,,25
1,7,5,11,-277,0,0,1,0,0,1,0
0,,,,-211,0,0,1,0,0,1,0
0,1,4,0,-28,0,0,1,0,0,1,0
0,6,4,14,-235,0,0,1,0,0,1,0
1,8,8,11,-40,0,0,1,0,0,1,0
0,,,,-58,0,0,1,0,0,1,0
1,2,,,-135,0,0,1,0,0,1,0
1,9,5,11,-154,0,0,1,0,0,1,0
0,1,1,7,-239,0,0,0,1,0,1,0
0,3,5,4,-185,0,0,1,0,0,1,0
1,,,,-357,0,0,1,0,0,1,0
0,7,,5,-228,0,0,1,0,0,0,0
1,,,,-342,0,0,1,0,0,1,0
0,4,2,1,-268,0,0,0,0,1,1,0
0,,,,-23,0,0,1,0,0,1,0
0,3,7,2,-359,0,0,0,0,1,1,0
0,,,,-16,0,0,1,0,0,1,0
1,,,,-143,0,0,1,0,0,1,0
1,5,6,10,-17,0,0,1,0,0,1,0
0,14,6,14,-14,0,0,1,0,0,1,0
0,7,9,13,300,1,0,1,0,0,1,300
1,2,7,12,50,1,0,1,0,0,1,50
1,8,10,13,129,1,0,1,0,0,1,129
1,6,7,12,178,1,0,0,1,0,,178
1,13,10,12,180,1,0,1,0,0,1,180
1,7,10,15,220,1,1,0,0,0,,220
1,14,12,21,224,1,0,1,0,0,1,224
