ChildPoverty,MedianIncome,Obama2008,GOP2party2010,GOPwin2010,WhitePct,Ideology
.1,69579,.60000002,.27700001,0,.80000001,-.37599999
.07,66969,.55000001,.47499999,0,.92000002,-.40599999
.2,39484,.5,.55900002,1,.94,.89700001
.2,44749,.47999999,.67400002,1,.87,.88999999
.20999999,50063,.49000001,.61400002,1,.81999999,.99699998
.23,41836,.5,.685,1,.93000001,.64600003
.31,41535,.63999999,.45500001,0,.75,-.366
.22,43475,.54000002,.64899999,1,.83999997,.65200001
.20999999,47355,.51999998,.52499998,1,.88,.68000001
.14,57415,.52999997,.65100002,1,.88,.62900001
.14,70078,.56,.48699999,0,.81,-.27200001
.15000001,57242,.47999999,.74199998,1,.94,.62599999
.090000004,65449,.54000002,.60600001,1,.89999998,.60100001
,,,,,,-.398
.19,48417,.64999998,.36399999,0,.81999999,-.33700001
.44,30842,.85000002,.189,0,.28999999,-.491
.44999999,35228,.86000001,.206,0,.31999999,-.61000001
.18000001,52763,.66000003,.414,0,.79000002,-.412
.12,49274,.50999999,.472,0,.93000001,-.28099999
.090000004,72416,.47999999,.634,1,.92000002,.759
.090000004,73229,.51999998,.616,1,.88999999,.69400001
.23999999,53688,.63999999,.36899999,0,.77999997,-.414
.25,48287,.73400003,.26300001,0,.70999998,-.56300002
.079999998,67832,.44999999,.56900001,1,.94999999,.759
.15000001,44311,.47,.405,0,.93000001,-.175
.17,45108,.52999997,.50800002,1,.94999999,.56199998
.28,38015,.38,.57499999,1,.70999998,.588
.41,30040,.66000003,.37900001,0,.34999999,-.447
.28999999,37503,.38,.685,1,.63999999,.53500003
.25999999,38800,.31999999,.52600002,1,.73000002,.52200001
.31,40363,.80000001,.243,0,.46000001,-.53100002
.059999999,70912,.44,.699,1,.93000001,.74599999
.18000001,50082,.60000002,.48800001,0,.86000001,-.31900001
.20999999,41668,.38,.528,1,.92000002,.64999998
.23999999,42722,.63999999,.45300001,0,.66000003,-.43200001
.14,50330,.44999999,.69499999,1,.92000002,.62199998
.25999999,40686,.34999999,.676,1,.93000001,.74299997
.30000001,34360,.36000001,.69499999,1,.92000002,.41
.19,42675,.44,1,1,.93000001,.63999999
.20999999,43531,.47,.64099997,1,.89999998,.51200002
.14,48397,.44,.713,1,.91000003,.48899999
.16,52192,.5,.60799998,1,.80000001,.67000002
.16,40942,.30000001,.79699999,1,.92000002,.67900002
.22,50035,.63999999,.36399999,0,.50999999,-.27599999
.18000001,52764,.49000001,.65899998,1,.75,.75099999
,,,,,,.67400002
.13,61151,.55000001,.50300002,1,.69,.54000002
.12,64680,.52999997,.56,1,.94999999,.62300003
.090000004,60407,.56,.50800002,1,.94999999,.64200002
.17,58401,.64999998,.35499999,0,.70999998,-.389
.17,55895,.54000002,.67900002,1,.72000003,.44600001
.090000004,69826,.51999998,.514,1,.82999998,.38600001
.12,64226,.47,.713,1,.81,.38499999
.050000001,87936,.44999999,.66399997,1,.86000001,.94300002
.12,66675,.60000002,.44400001,0,.62,-.57300001
.059999999,90093,.50999999,.59399998,1,.79000002,.63300002
.22,59702,.63,.36500001,0,.54000002,-.403
.13,63611,.61000001,.384,0,.61000001,-.35800001
.25,45093,.87,.131,0,.20999999,-.57700002
,,,,,,-.41999999
.029999999,97009,.44999999,.68800002,1,.82999998,.62400001
.07,86638,.57999998,.46399999,0,.72000003,-.51599997
.27000001,48967,.75,.237,0,.31999999,-.37900001
.23999999,44265,.60000002,.48100001,0,.49000001,-.26199999
.30000001,35951,.49000001,.55400002,1,.44,.65799999
.22,44174,.61000001,.43000001,0,.41,-.34599999
.079999998,81221,.51999998,.498,0,.83999997,-.303
.059999999,89368,.56,.43200001,0,.70999998,-.35100001
.050000001,87490,.47,.71899998,1,.87,.514
.1,82490,.57999998,.46399999,0,.62,-.28400001
.12,60343,.63,.36500001,0,.44,-.36300001
.17,54759,.88999999,.122,0,.13,-.34
.25,46056,.79000002,.185,0,.28,-.412
.25999999,64316,.74000001,.245,0,.69,-.48199999
.12,54809,.55000001,.39199999,0,.63999999,-.41
,,,,,,.43200001
.37,38693,.91000003,.071999997,0,.16,-.47099999
.28,43736,.91000003,.093999997,0,.20999999,-.58600003
.36000001,39663,.86000001,0,0,.23,-.53399998
.15000001,60137,.49000001,.51700002,1,.70999998,.41800001
.1,78843,.77999997,.23,0,.66000003,-.38800001
.36000001,37216,.93000001,.114,0,.16,-.42300001
.49000001,23291,.94999999,.043000001,0,.029999999,-.50099999
.25,53443,.72000003,.23800001,0,.41,-.331
.12,84423,.62,.37799999,0,.67000002,-.33500001
.12,79561,.50999999,.52700001,1,.82999998,.57999998
.12,55914,.50999999,.54900002,1,.93000001,.56099999
.16,50214,.57999998,.40700001,0,.86000001,-.419
.2,48427,.58999997,.47299999,0,.80000001,-.58200002
.20999999,44222,.51999998,.49399999,0,.93000001,-.178
.19,44159,.50999999,.53100002,1,.92000002,.56999999
.17,50885,.56,.50199997,1,.87,.72899997
.11,54645,.46000001,.736,1,.92000002,
,,,,,,-.223
.23999999,42504,.54000002,.391,0,.88999999,-.31799999
.31999999,37280,.69,.35100001,0,.62,-.58499998
.15000001,48528,.47999999,.56599998,1,.93000001,.61699998
.37,30441,.62,.40700001,0,.44,-.37
.23999999,41044,.51999998,.50400001,1,.58999997,.57099998
.2,45999,.38,.736,1,.75999999,.107
.13,62661,.63,.428,0,.69,-.412
.18000001,45058,.38,.65899998,1,.88,.76499999
.19,49200,.36000001,.75199997,1,.85000002,.78600001
.31,40092,.47,.463,0,.63,-.138
.25999999,41798,.52999997,.45199999,0,.62,-.161
.14,61757,.44999999,.69,1,.82999998,.78399998
.22,41657,.36000001,.71200001,1,.85000002,.76499999
.23999999,41103,.47,.45699999,0,.89999998,-.048
.31,37574,.69999999,.34799999,0,.44999999,-.456
.20999999,44901,.58999997,.44499999,0,.63,-.37099999
.13,43753,.44999999,.54900002,1,.92000002,.48300001
.25,42022,.55000001,.528,1,.69,.81
.15000001,55271,.40000001,.62800002,1,.92000002,.67400002
.17,47213,.47,.68099999,1,.79000002,.43799999
.20999999,45975,.38,.74299997,1,.92000002,.81699997
.19,47013,.44999999,.71899998,1,.94,.65499997
.23,37245,.47999999,.52600002,1,.94999999,.66399997
.22,48873,.44999999,.65799999,1,.88999999,.537
.2,48607,.38,.68400002,1,.92000002,
.23999999,46364,.62,.40700001,0,.80000001,-.398
.20999999,47071,.58999997,.45300001,0,.87,-.77899998
.38999999,34988,.85000002,.171,0,.38999999,-.54299998
.2,55444,.52999997,.57599998,1,.72000003,.61799997
.22,50174,.56999999,.44299999,0,.81999999,-.426
.13,58163,.49000001,.67299998,1,.94,.43799999
.25,50189,.54000002,.56800002,1,.85000002,.46000001
.20999999,47458,.47999999,.55800003,1,.92000002,.66500002
.27000001,40507,.62,.35800001,0,.85000002,-.41999999
.25999999,40137,.44999999,.57099998,1,.95999998,.56300002
.20999999,46497,.36000001,1,1,.74000001,.70099998
.28999999,35167,.34,.435,0,.69999999,-.07
.19,41431,.27000001,.77999997,1,.81,.51200002
.16,45346,.34,1,1,.77999997,.46399999
.25999999,40263,.41,.64399999,1,.68000001,.70300001
.14,56304,.61000001,.43399999,0,.81,-.40599999
,,,,,,-.412
.23999999,44792,.43000001,.74000001,1,.86000001,.61299998
.19,50176,.70999998,.25999999,0,.76999998,-.50599998
.19,41714,.54000002,.44400001,0,.89999998,-.54299998
.20999999,51125,.54000002,.47299999,0,.83999997,-.233
.40000001,32140,.88,0,0,.33000001,-.43700001
.31999999,35868,.89999998,.107,0,.30000001,-.373
.18000001,41747,.49000001,.55699998,1,.94,.40799999
.11,53455,.44,.49200001,0,.94,-.13699999
.22,38436,.44,.70899999,1,.95999998,.458
.090000004,68575,.57999998,.57099998,1,.86000001,.47999999
.07,67805,.56,.55500001,1,.88,.35600001
.029999999,70266,.54000002,.53500003,1,.91000003,.43099999
.18000001,42327,.34999999,.73100001,1,.95999998,.509
.17,42641,.44999999,.55199999,1,.95999998,.47099999
.19,44345,.56999999,.54699999,1,.93000001,.38100001
.22,37364,.49000001,.49200001,0,.94999999,-.278
.13,58883,.58999997,.43700001,0,.86000001,-.31299999
.31999999,34279,.69999999,.29100001,0,.73000002,-.40700001
.15000001,56209,.56,.579,1,.86000001,.44800001
.16,54387,.47999999,.65399998,1,.85000002,.78299999
.15000001,48466,.47999999,.44499999,0,.87,-.235
.1,55331,.44,.67299998,1,.94999999,.39199999
.1,55799,.43000001,.755,1,.92000002,.484
.2,52473,.64999998,.46799999,0,.82999998,-.405
.14,54358,.61000001,.347,0,.81,-.35600001
.20999999,49565,.41999999,.69499999,1,.74000001,.86699998
.16,50853,.44999999,.55000001,1,.68000001,.79699999
.27000001,40617,.34999999,.65499997,1,.75999999,.91900003
.22,44213,.38,.68800002,1,.75,.89200002
.28,41247,.46000001,.55199999,1,.63999999,1
.36000001,33214,.63999999,.36700001,0,.40000001,-.40400001
.19,43424,.44999999,.51200002,1,.88,.493
.25999999,36058,.28999999,.82499999,1,.94999999,.70200002
.19,44105,.34,.84899998,1,.89999998,.963
.25999999,40431,.37,.67000002,1,.85000002,.61500001
.25,37331,.34,.597,1,.93000001,.66100001
.25,46861,.56,.428,0,.68000001,-.235
.2,44886,.37,.69499999,1,.88999999,.685
.13,61472,.34,.745,1,.82999998,.792
.28999999,37206,.43000001,.60299999,1,.74000001,.69800001
.37,35957,.76999998,.25299999,0,.34999999,-.41100001
.25999999,40414,.31,1,1,.70999998,.68199998
.2,56441,.40000001,1,1,.63999999,.671
